source,reason
ULAS J002422.94+002247.9,No proper motion data
ULAS J003716.06-005404.7,No proper motion data
WISE J003830.54+840517.7,No proper motion data
HD 3651B,No proper motion data
ULAS J004757.41+154641.4,No proper motion data
BRB 29,No proper motion data
ULAS J012906.88+011350.4,No proper motion data
ULAS J013017.79+080453.9,No proper motion data
ULAS J013117.53-003128.6,No proper motion data
WISE J013525.64+171503.4,No proper motion data
ULAS J013807.67-010417.0,No proper motion data
ULAS J014103.30+131832.6,No proper motion data
ULAS J015024.37+135924.0,No proper motion data
ULAS J020013.18+090835.2,No proper motion data
ULAS J020336.94-010231.1,No proper motion data
ULAS J022200.43-002410.5,No proper motion data
ULAS J022603.18+070231.4,No proper motion data
IfA 0230-Z1,No proper motion data
CFBDS J022644.65-062522.0,No proper motion data
ULAS J025545.28+061655.8,No proper motion data
ULAS J025940.95+054934.8,No proper motion data
CFBDS J030130.53-104504.3,No proper motion data
CFBDS J030226.67-143719.2,No proper motion data
WISEPA J030724.57+290447.6,No proper motion data
ULAS J082155.49+250939.6,No proper motion data
ULAS J032122.98+005105.2,No proper motion data
ULAS J032920.22+043024.5,No proper motion data
CFHT-IC 348-1,No proper motion data
CFHT-IC 348-4,No proper motion data
CFHT-IC 348-6,No proper motion data
CFHT-IC 348-18,No proper motion data
CFHT-IC 348-27,No proper motion data
CFHT-IC 348-29,No proper motion data
BRB 23,No proper motion data
PLIZ 35,No proper motion data
ULAS J085035.45+062152.7,No proper motion data
CFHT-Hy-21,No proper motion data
WISE J052126.29+102528.4,No proper motion data
ULAS J092605.47+083517.0,No proper motion data
WISEPA J061213.93-303612.7,No proper motion data
UGPS J065227.71+032431.0,No proper motion data
UGPS J072227.51-054031.2,No proper motion data
ULAS J094516.39+075545.6,No proper motion data
WISEPA J074457.15+562821.8,No proper motion data
ULAS J161710.39+235031.4,No proper motion data
ULAS J075829.83+222526.7,No proper motion data
ULAS J082707.67-020408.2,No proper motion data
ULAS J084710.35+020413.3,No proper motion data
ULAS J084849.71+071512.0,No proper motion data
ULAS J092659.46-005611.1,No proper motion data
ULAS J092926.44+110547.3,No proper motion data
ULAS J095401.45+092213.7,No proper motion data
ULAS J102144.87+054446.1,No proper motion data
ULAS J102940.52+093514.6,No proper motion data
WISE J103907.73-160002.9,No proper motion data
CFBDS J104209.98+580856.6,No proper motion data
ULAS J105134.32-015449.8,No proper motion data
WISE J105257.95-194250.2,No proper motion data
PSO J168.1800-27.2264,No proper motion data
WISE J111838.70+312537.9,No proper motion data
ULAS J112043.11+090429.8,No proper motion data
WISE J114340.22+443123.8,No proper motion data
ULAS J115229.68+035927.3,No proper motion data
ULAS J115338.74-014724.1,No proper motion data
ULAS J120257.05+090158.8,No proper motion data
ULAS J121355.51+053517.1,No proper motion data
ULAS J123327.45+121952.2,No proper motion data
ULAS J124413.03+123201.1,No proper motion data
ULAS J124804.56+075904.0,No proper motion data
VHS J125601.92-125723.9 b,No proper motion data
WISE J130141.62-030212.9,No proper motion data
WISE J131833.98-175826.5,No proper motion data
ULAS J132048.12+102910.6,No proper motion data
ULAS J133933.64-005621.1,No proper motion data
ULAS J135607.41+085345.2,No proper motion data
WISEPA J143602.19-181421.8,No proper motion data
ULAS J145231.11+033944.0,No proper motion data
PSO J224.3820+47.4057,No proper motion data
CFBDS J145847.93+061402.8,No proper motion data
ULAS J150140.69-005146.8,No proper motion data
CFBDS J151803.64+071645.9,No proper motion data
WISE J152305.10+312537.6,No proper motion data
CFBDS J152655.80+034536.2,No proper motion data
ULAS J154701.84+005320.3,No proper motion data
WISEPA J161705.75+180714.3,No proper motion data
ULAS J162655.04+252446.8,No proper motion data
USco J163919.15-253409.9,No proper motion data
WISE J212321.92-261405.1,No proper motion data
WISEPA J172844.93+571643.6,No proper motion data
WISE J173859.27+614242.1,No proper motion data
PSO J265.0759+11.4855,No proper motion data
WISE J184041.77+293229.2,No proper motion data
WISE J191359.78+644456.6,No proper motion data
WISE J195436.15+691541.3,No proper motion data
WISE J195500.42-254013.9,No proper motion data
WISE J201920.76-114807.5,No proper motion data
CFBDS J203841.41-185012.3,No proper motion data
CFBDS J212243.69+042941.9,No proper motion data
CFBDS J214139.77-033739.0,No proper motion data
2MASS J21420580-3101162,No proper motion data
WISE J214706.78-102924.0,No proper motion data
WISEPC J215751.38+265931.4,No proper motion data
ULAS J221904.07+063059.1,No proper motion data
ULAS J222958.30+010217.2,No proper motion data
ULAS J223347.82+002214.0,No proper motion data
ULAS J225624.82+062152.9,No proper motion data
ULAS J230203.04+070038.8,No proper motion data
ULAS J230434.41+080401.4,No proper motion data
ULAS J230601.02+130225.0,No proper motion data
ULAS J231557.61+132256.2,No proper motion data
WISEPC J231939.13-184404.3,No proper motion data
CFBDS J232620.21-025643.7,No proper motion data
ULAS J232802.03+134544.8,No proper motion data
ULAS J233104.12+042652.6,No proper motion data
WISE J233543.79+422255.2,No proper motion data
ULAS J234827.94+005220.5,No proper motion data
ULAS J235204.62+124444.9,No proper motion data
ULAS J235618.01+075420.4,No proper motion data
